GeoFips,GeoName,2018,2019,2020
43580,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)",8498099,8740101,8891121
43620,"Sioux Falls, SD (Metropolitan Statistical Area)",22149514,23604298,23357987
43780,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",15467023,16136196,15502941
43900,"Spartanburg, SC (Metropolitan Statistical Area)",15384716,16449963,16458704
44060,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",27115183,28523491,28511612
44100,"Springfield, IL (Metropolitan Statistical Area)",11899486,12144807,11662292
44140,"Springfield, MA (Metropolitan Statistical Area)",34075265,35373387,34312400
44180,"Springfield, MO (Metropolitan Statistical Area)",20298741,21573068,21523039
44220,"Springfield, OH (Metropolitan Statistical Area)",4682689,4799463,4665667
44300,"State College, PA (Metropolitan Statistical Area)",9063561,9377461,9089210
44420,"Staunton, VA (Metropolitan Statistical Area) *",5209937,5380563,5409818
44700,"Stockton, CA (Metropolitan Statistical Area)",30498417,32207958,32517528
44940,"Sumter, SC (Metropolitan Statistical Area)",4808831,4956076,5052221
45060,"Syracuse, NY (Metropolitan Statistical Area)",40829794,42521610,41851253
45220,"Tallahassee, FL (Metropolitan Statistical Area)",17471652,18332709,18333468
45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",159127777,168393558,169269540
45460,"Terre Haute, IN (Metropolitan Statistical Area)",7596997,7715979,7727772
45500,"Texarkana, TX-AR (Metropolitan Statistical Area)",5514725,5651556,5637885
45540,"The Villages, FL (Metropolitan Statistical Area)",3555803,4396497,4663965
45780,"Toledo, OH (Metropolitan Statistical Area)",37180046,38529606,36675414
45820,"Topeka, KS (Metropolitan Statistical Area)",12064866,12087325,12409735
45940,"Trenton-Princeton, NJ (Metropolitan Statistical Area)",33614679,38210871,38268966
46060,"Tucson, AZ (Metropolitan Statistical Area)",44251372,46038362,45170394
46140,"Tulsa, OK (Metropolitan Statistical Area)",57293965,58040221,53693414
46220,"Tuscaloosa, AL (Metropolitan Statistical Area)",11655904,12246189,11570954
46300,"Twin Falls, ID (Metropolitan Statistical Area)",4878607,5067043,4982759
46340,"Tyler, TX (Metropolitan Statistical Area)",11280244,11800304,11666322
46520,"Urban Honolulu, HI (Metropolitan Statistical Area)",66927296,67586072,62123839
46540,"Utica-Rome, NY (Metropolitan Statistical Area)",13031692,13758844,13433882
46660,"Valdosta, GA (Metropolitan Statistical Area)",5574129,5936453,6009490
46700,"Vallejo, CA (Metropolitan Statistical Area)",24819488,27522987,27618325
47020,"Victoria, TX (Metropolitan Statistical Area)",4872252,4876451,4460486
47220,"Vineland-Bridgeton, NJ (Metropolitan Statistical Area)",6652055,6755751,6703553
47260,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area) *",94641789,98050262,96337221
47300,"Visalia, CA (Metropolitan Statistical Area)",17810577,18884066,18980160
47380,"Waco, TX (Metropolitan Statistical Area)",13492969,14014228,13864365
47460,"Walla Walla, WA (Metropolitan Statistical Area)",3601836,3641673,3433648
47580,"Warner Robins, GA (Metropolitan Statistical Area)",7855690,8319888,8398737
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area) *",547123109,566892038,561027941
47940,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",9738623,9840609,9770738
48060,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)",6482001,6566607,6538675
48140,"Wausau-Weston, WI (Metropolitan Statistical Area)",10030203,10586394,10262362
48260,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",5439800,5721009,5370775
48300,"Wenatchee, WA (Metropolitan Statistical Area)",6604473,6652347,6709091
48540,"Wheeling, WV-OH (Metropolitan Statistical Area)",10241718,9813435,8989904
48620,"Wichita, KS (Metropolitan Statistical Area)",37015154,38243374,36321604
48660,"Wichita Falls, TX (Metropolitan Statistical Area)",6276656,6613793,6432554
48700,"Williamsport, PA (Metropolitan Statistical Area)",5934930,6015121,5764038
48900,"Wilmington, NC (Metropolitan Statistical Area)",14789089,15849704,15951810
49020,"Winchester, VA-WV (Metropolitan Statistical Area) *",7092067,7414777,7605319
49180,"Winston-Salem, NC (Metropolitan Statistical Area)",35067673,36683262,34012531
49340,"Worcester, MA-CT (Metropolitan Statistical Area)",49522312,51287269,50892934
49420,"Yakima, WA (Metropolitan Statistical Area)",10515639,10849934,10965764
49620,"York-Hanover, PA (Metropolitan Statistical Area)",21346125,22320783,21464969
49660,"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)",21220057,21860756,20967515
49700,"Yuba City, CA (Metropolitan Statistical Area)",6959382,7214268,7384911
49740,"Yuma, AZ (Metropolitan Statistical Area)",7783914,7980325,8118717
,,,,
Legend/Footnotes,,,,
"* Broomfield County, CO, was created from parts of Adams, Boulder, Jefferson, and Weld counties effective November 15, 2001. Estimates for Broomfield county begin with 2002.",,,,
"* Virginia combination areas consist of one or two independent cities with 1980 populations of less than 100,000 combined with an adjacent county. The county name appears first, followed by the city name(s). Separate estimates for the jurisdictions making up the combination area are not available. Bedford County, VA includes the independent city of Bedford for all years.",,,,
"  Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget (OMB) bulletin no. 20-01 issued March 6, 2020.",,,,
"  Last updated: December 8, 2021 -- new statistics for 2020, revised statistics for 2001-2019.",,,,
