GeoFips,GeoName,2018,2019,2020
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",6501148,6753391,6798702
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",13799982,14150273,13601993
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",36655857,38646470,39502377
17860,"Columbia, MO (Metropolitan Statistical Area)",10201147,10853603,11119352
17900,"Columbia, SC (Metropolitan Statistical Area)",42300244,43886301,44358414
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",14797977,15360162,15459426
18020,"Columbus, IN (Metropolitan Statistical Area)",6867450,7034455,6639828
18140,"Columbus, OH (Metropolitan Statistical Area)",131461913,137648916,137259944
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",23399722,23922537,22320491
18700,"Corvallis, OR (Metropolitan Statistical Area)",4648467,4759249,4751657
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",15045683,16324457,16677447
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",3840078,3940844,3905447
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",511962537,540633961,534807251
19140,"Dalton, GA (Metropolitan Statistical Area)",7005960,7205178,7095087
19180,"Danville, IL (Metropolitan Statistical Area)",3310257,3365096,3330069
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",7800827,8416995,8484931
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",21680892,22297014,22113191
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",43757047,45834105,45157246
19460,"Decatur, AL (Metropolitan Statistical Area)",6347553,6498273,6527140
19500,"Decatur, IL (Metropolitan Statistical Area)",6825886,6807531,6660252
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",21514570,22505142,22808084
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",213146127,227259597,223145760
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",52055782,54172959,56234885
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",262062996,266607882,254533015
20020,"Dothan, AL (Metropolitan Statistical Area)",6496022,6810109,6678286
20100,"Dover, DE (Metropolitan Statistical Area)",8012921,8830822,8973785
20220,"Dubuque, IA (Metropolitan Statistical Area)",6506459,6874113,6816868
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",14537707,15048726,14202288
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",50402959,53611450,55041853
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",7604065,8000539,7771702
20740,"Eau Claire, WI (Metropolitan Statistical Area)",9222217,9658901,9582473
20940,"El Centro, CA (Metropolitan Statistical Area)",8220162,8742543,8566860
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",5901181,6218880,6223848
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",16374829,16009758,16108000
21300,"Elmira, NY (Metropolitan Statistical Area)",3887983,3970442,3869163
21340,"El Paso, TX (Metropolitan Statistical Area)",31956710,34008568,34114414
21420,"Enid, OK (Metropolitan Statistical Area)",2696225,2704384,2586642
21500,"Erie, PA (Metropolitan Statistical Area)",11791733,12218579,11784140
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",16492411,16825091,16578944
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",19067718,19875895,18946090
21820,"Fairbanks, AK (Metropolitan Statistical Area)",5928508,6027951,5950242
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",15056390,15731888,15729686
22140,"Farmington, NM (Metropolitan Statistical Area)",5593231,5699778,5327081
22180,"Fayetteville, NC (Metropolitan Statistical Area)",21089837,22112809,22304899
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",26580208,27827471,28674482
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",8027128,7948956,7548517
22420,"Flint, MI (Metropolitan Statistical Area)",16263580,16695711,16121115
22500,"Florence, SC (Metropolitan Statistical Area)",9758021,10140701,10055859
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",5337165,5395654,5406458
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",5266458,5486674,5317086
22660,"Fort Collins, CO (Metropolitan Statistical Area)",19836875,21344787,21593417
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",9554659,9928381,9961729
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",23397852,23779694,23207491
23420,"Fresno, CA (Metropolitan Statistical Area)",44073282,46177593,45932182
23460,"Gadsden, AL (Metropolitan Statistical Area)",3175436,3170226,3012955
23540,"Gainesville, FL (Metropolitan Statistical Area)",15201940,15998571,16479968
23580,"Gainesville, GA (Metropolitan Statistical Area)",11104232,11805734,11879587
23900,"Gettysburg, PA (Metropolitan Statistical Area)",4043495,4070126,3968843
24020,"Glens Falls, NY (Metropolitan Statistical Area)",6448939,6932072,6791778
24140,"Goldsboro, NC (Metropolitan Statistical Area)",4986431,5146501,5090029
24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",5501041,5676219,5813472
24260,"Grand Island, NE (Metropolitan Statistical Area)",4144418,4290677,4290790
24300,"Grand Junction, CO (Metropolitan Statistical Area)",6640236,6864880,6776747
24340,"Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",61287816,62728109,61371686
24420,"Grants Pass, OR (Metropolitan Statistical Area)",2828218,3080938,3048409
24500,"Great Falls, MT (Metropolitan Statistical Area)",3869281,3833159,3770219
24540,"Greeley, CO (Metropolitan Statistical Area) *",21821567,21080910,16710143
24580,"Green Bay, WI (Metropolitan Statistical Area)",20695349,21151896,20484193
24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",41976708,42922463,42033244
24780,"Greenville, NC (Metropolitan Statistical Area)",9589743,9820411,9674795
24860,"Greenville-Anderson, SC (Metropolitan Statistical Area)",46048066,47716138,47585915
25060,"Gulfport-Biloxi, MS (Metropolitan Statistical Area)",17835516,18371548,17814654
25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",11706245,12003530,11764929
25220,"Hammond, LA (Metropolitan Statistical Area)",4246294,4402020,4494000
25260,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",6220603,6527293,6857784
25420,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",39596831,41594127,40262653
25500,"Harrisonburg, VA (Metropolitan Statistical Area) *",7847281,8197277,8355784
25540,"Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",101973298,104286433,99311154
25620,"Hattiesburg, MS (Metropolitan Statistical Area)",6304930,6351284,6371228
25860,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",15278316,15476610,15150170
25940,"Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",9165629,9731739,9925253
25980,"Hinesville, GA (Metropolitan Statistical Area)",3905243,4032278,4050238
26140,"Homosassa Springs, FL (Metropolitan Statistical Area)",3996794,4528701,4551508
26300,"Hot Springs, AR (Metropolitan Statistical Area)",3431573,3525416,3513952
26380,"Houma-Thibodaux, LA (Metropolitan Statistical Area)",9691036,9723328,8870717
26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",505889766,509311540,488164627
26580,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",16178609,16281415,15491288
26620,"Huntsville, AL (Metropolitan Statistical Area)",28763761,30621167,30867880
26820,"Idaho Falls, ID (Metropolitan Statistical Area)",7465261,8508451,8585233
26900,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",141714663,148366536,146933907
26980,"Iowa City, IA (Metropolitan Statistical Area)",10959528,11254655,10982853
27060,"Ithaca, NY (Metropolitan Statistical Area)",6429880,6647546,6412558
27100,"Jackson, MI (Metropolitan Statistical Area)",6454057,6898712,6830637
27140,"Jackson, MS (Metropolitan Statistical Area)",27668736,28163999,28092473
27180,"Jackson, TN (Metropolitan Statistical Area)",8489260,8627565,8517214
27260,"Jacksonville, FL (Metropolitan Statistical Area)",83688402,89388127,91023328
27340,"Jacksonville, NC (Metropolitan Statistical Area)",7788147,8073779,8094177
27500,"Janesville-Beloit, WI (Metropolitan Statistical Area)",7324677,7850733,7840914
27620,"Jefferson City, MO (Metropolitan Statistical Area)",7865454,8432031,8661950
27740,"Johnson City, TN (Metropolitan Statistical Area)",7467011,7829264,7942061
27780,"Johnstown, PA (Metropolitan Statistical Area)",4858966,4942491,4952002
27860,"Jonesboro, AR (Metropolitan Statistical Area)",5300521,5623224,5670636
27900,"Joplin, MO (Metropolitan Statistical Area)",7853313,7862772,7707467
27980,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",10473501,10853679,8704375
28020,"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",14289278,14723290,14197267
28100,"Kankakee, IL (Metropolitan Statistical Area)",6355947,6643117,6621871
28140,"Kansas City, MO-KS (Metropolitan Statistical Area)",136891092,143143828,142503483
28420,"Kennewick-Richland, WA (Metropolitan Statistical Area)",15503439,16437128,16429467
28660,"Killeen-Temple, TX (Metropolitan Statistical Area)",18797751,19594041,20175992
28700,"Kingsport-Bristol, TN-VA (Metropolitan Statistical Area) *",13697662,13583832,13294896
28740,"Kingston, NY (Metropolitan Statistical Area)",7575427,7945938,7742382
28940,"Knoxville, TN (Metropolitan Statistical Area)",43798438,45756311,45645101
29020,"Kokomo, IN (Metropolitan Statistical Area)",4330222,4342878,4182429
29100,"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",8175947,8500763,8374165
29180,"Lafayette, LA (Metropolitan Statistical Area)",21708605,21938152,20565626
29200,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",11673150,11948103,11968431
29340,"Lake Charles, LA (Metropolitan Statistical Area)",18052699,17898830,15054177
29420,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",5506967,5850997,6036445
29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",26808600,28461492,29339334
29540,"Lancaster, PA (Metropolitan Statistical Area)",29941809,30840646,29934068
29620,"Lansing-East Lansing, MI (Metropolitan Statistical Area)",26228207,26915561,26518820
29700,"Laredo, TX (Metropolitan Statistical Area)",11240615,11313368,10219514
29740,"Las Cruces, NM (Metropolitan Statistical Area)",7511256,7857860,7632409
29820,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",122797372,131294377,119386931
29940,"Lawrence, KS (Metropolitan Statistical Area)",5165016,5301479,5172020
30020,"Lawton, OK (Metropolitan Statistical Area)",5200783,5301419,5308623
30140,"Lebanon, PA (Metropolitan Statistical Area)",6133832,6281818,6232525
30300,"Lewiston, ID-WA (Metropolitan Statistical Area)",2731075,2906415,2939792
30340,"Lewiston-Auburn, ME (Metropolitan Statistical Area)",4707626,4916913,4993212
30460,"Lexington-Fayette, KY (Metropolitan Statistical Area)",29558417,30569070,29785109
30620,"Lima, OH (Metropolitan Statistical Area)",8295714,8345964,8116399
30700,"Lincoln, NE (Metropolitan Statistical Area)",20147779,20875274,21155138
30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",37406052,38675428,38581063
30860,"Logan, UT-ID (Metropolitan Statistical Area)",5936085,6331766,6598103
30980,"Longview, TX (Metropolitan Statistical Area)",15724302,15722081,14440759
31020,"Longview, WA (Metropolitan Statistical Area)",4990755,5372610,5316825
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",1006224798,1055570390,1007037066
31140,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",71927092,74921053,74308945
31180,"Lubbock, TX (Metropolitan Statistical Area)",14294725,14918116,15008301
31340,"Lynchburg, VA (Metropolitan Statistical Area) *",10767947,11018549,10662302
31420,"Macon-Bibb County, GA (Metropolitan Statistical Area)",11227234,11272999,10792896
31460,"Madera, CA (Metropolitan Statistical Area)",6143266,6457150,6544075
31540,"Madison, WI (Metropolitan Statistical Area)",49404449,51773831,51475512
31700,"Manchester-Nashua, NH (Metropolitan Statistical Area)",27206451,28298242,28848611
31740,"Manhattan, KS (Metropolitan Statistical Area)",7208294,7148709,7248547
